female,isei,w_fstuwt,wnrschbw,high_school,college,one_for,both_for,test_lang,pass_read,wvarstr,id
1,56,967.21051,296.95001,0,1,0,1,0,0,1,3
1,67,967.21051,296.95001,1,0,0,0,1,0,1,3
1,38,967.21051,296.95001,1,0,0,1,1,0,1,3
1,40,967.21051,296.95001,0,0,0,0,1,1,1,3
1,77,967.21051,296.95001,0,1,1,0,0,0,1,3
1,23,967.21051,296.95001,0,0,0,0,1,1,1,3
1,69,967.21051,296.95001,0,1,0,0,1,0,1,3
1,25,1096.071,296.95001,0,0,0,1,0,0,1,3
1,34,967.21051,296.95001,0,1,1,0,1,1,1,3
1,23,1096.071,296.95001,1,0,1,0,1,0,1,3
1,29,967.21051,296.95001,1,0,0,1,1,0,1,3
1,23,1096.071,296.95001,1,0,0,1,0,0,1,3
1,52,287.0575,65.900002,1,0,0,0,1,0,5,4
1,45,287.0575,65.900002,0,1,0,0,1,1,5,4
1,25,287.0575,65.900002,0,1,0,0,1,0,5,4
0,23,287.0575,65.900002,0,1,0,1,0,0,5,4
1,30,287.0575,65.900002,0,1,0,0,1,0,5,4
0,67,287.0575,65.900002,0,1,0,1,0,1,5,4
1,67,287.0575,65.900002,0,0,1,0,0,0,5,4
0,57,287.0575,65.900002,1,0,0,0,1,1,5,4
1,30,287.0575,65.900002,1,0,1,0,1,0,5,4
1,77,287.0575,65.900002,1,0,0,0,1,0,5,4
1,34,520.94678,49.939999,0,1,0,0,1,0,5,5
1,24,520.94678,49.939999,1,0,0,1,0,0,5,5
1,30,520.94678,49.939999,0,0,0,1,0,0,5,5
1,29,520.94678,49.939999,0,1,0,0,0,0,5,5
0,30,520.94678,49.939999,0,1,0,1,1,0,5,5
0,26,520.94678,49.939999,0,1,0,1,1,0,5,5
1,26,520.94678,49.939999,0,1,0,1,0,0,5,5
0,34,516.05353,27.08,1,0,0,1,0,0,7,6
0,30,516.05353,27.08,1,0,0,0,1,0,7,6
0,30,595.14661,27.08,1,0,0,0,1,0,7,6
0,68,516.05353,27.08,0,1,0,0,1,0,7,6
0,24,595.14661,27.08,0,0,0,1,0,0,7,6
1,53,516.05353,27.08,0,1,0,1,0,0,7,6
0,39,595.14661,27.08,1,0,0,1,0,0,7,6
0,37,595.14661,27.08,1,0,1,0,1,0,7,6
0,34,516.05353,27.08,1,0,0,1,0,0,7,6
1,53,516.05353,27.08,0,1,0,1,0,0,7,6
0,34,641.11401,15.41,1,0,0,0,1,0,8,7
1,32,555.91199,15.41,1,0,0,1,0,0,8,7
0,21,555.91199,15.41,1,0,0,0,1,0,8,7
1,53,641.11401,15.41,1,0,0,1,0,0,8,7
1,30,555.91199,15.41,0,0,0,1,0,0,8,7
1,30,641.11401,15.41,1,0,0,1,0,0,8,7
1,38,641.11401,15.41,0,1,0,0,0,0,8,7
1,30,555.91199,15.41,0,1,0,1,0,0,8,7
0,19,555.91199,15.41,0,0,0,1,0,0,8,7
0,29,555.91199,15.41,1,0,0,0,1,0,8,7
1,30,555.91199,15.41,1,0,0,1,0,0,8,7
0,21,555.91199,15.41,1,0,0,0,1,0,8,7
0,56,1354.76,117.2,1,0,0,0,1,0,1,8
0,38,1354.76,117.2,1,0,0,0,1,1,1,8
0,69,1354.76,117.2,0,1,0,0,1,1,1,8
1,67,1354.76,117.2,0,1,0,0,1,0,1,8
0,68,1354.76,117.2,0,1,0,0,1,1,1,8
0,51,1354.76,117.2,1,0,0,1,1,1,1,8
1,69,1354.76,117.2,0,1,0,0,1,0,1,8
0,56,1354.76,117.2,0,1,0,0,1,1,1,8
0,34,1354.76,117.2,1,0,0,0,1,1,1,8
1,71,1354.76,117.2,0,1,0,0,1,0,1,8
1,70,1354.76,117.2,0,1,0,0,1,1,1,8
0,71,1354.76,117.2,1,0,0,0,1,1,1,8
1,56,1354.76,117.2,0,1,0,0,1,1,1,8
0,59,1354.76,117.2,1,0,0,0,1,0,1,8
1,54,1354.76,117.2,1,0,0,0,1,1,1,8
1,51,534.0058,62.32,0,1,0,0,1,0,9,9
1,33,534.0058,62.32,0,1,0,1,0,1,9,9
1,69,534.0058,62.32,0,1,0,0,1,1,9,9
1,59,534.0058,62.32,0,0,0,0,1,1,9,9
1,66,534.0058,62.32,1,0,0,0,1,0,9,9
0,43,534.0058,62.32,0,1,0,0,1,0,9,9
0,30,534.0058,62.32,1,0,0,0,1,0,9,9
0,53,534.0058,62.32,0,1,0,0,1,0,9,9
0,30,1353.09,181.99001,1,0,0,1,1,0,28,10
1,56,1202.7469,181.99001,1,0,0,0,1,1,28,10
0,29,1202.7469,181.99001,0,1,0,0,1,1,28,10
1,69,1202.7469,181.99001,1,0,0,0,1,1,28,10
0,50,1202.7469,181.99001,0,1,0,0,1,0,28,10
1,51,1202.7469,181.99001,0,1,0,0,1,0,28,10
1,71,1202.7469,181.99001,1,0,0,0,1,0,28,10
0,67,1353.09,181.99001,0,1,0,0,1,0,28,10
0,38,1353.09,181.99001,1,0,0,0,1,0,28,10
0,30,1353.09,181.99001,1,0,0,0,1,0,28,10
1,29,1202.7469,181.99001,0,0,0,0,1,1,28,10
1,77,1353.09,181.99001,0,1,0,0,1,1,28,10
0,54,1353.09,181.99001,0,1,0,0,1,0,28,10
1,21,1202.7469,181.99001,0,1,0,0,1,1,28,10
1,23,1202.7469,181.99001,1,0,0,0,1,1,28,10
0,44,1202.7469,181.99001,0,1,0,0,1,0,28,10
0,30,1353.09,181.99001,0,1,0,0,1,0,28,10
1,50,1202.7469,181.99001,0,1,0,0,1,1,28,10
1,70,1202.7469,181.99001,1,0,0,0,1,0,28,10
0,71,1353.09,181.99001,0,1,0,0,1,0,28,10
0,23,1202.7469,181.99001,0,1,0,0,1,0,28,10
1,25,1202.7469,181.99001,0,1,0,0,1,0,28,10
1,29,694.70618,36.759998,0,1,1,0,1,0,11,11
1,21,694.70618,36.759998,1,0,0,0,1,0,11,11
1,51,694.70618,36.759998,1,0,0,0,1,1,11,11
1,71,602.38202,36.759998,0,1,0,1,1,0,11,11
0,29,694.70618,36.759998,1,0,0,1,1,0,11,11
0,34,694.70618,36.759998,1,0,0,0,1,0,11,11
0,23,694.70618,36.759998,1,0,0,0,1,0,11,11
1,30,694.70618,36.759998,1,0,0,0,1,0,11,11
0,69,694.70618,36.759998,0,1,1,0,1,1,11,11
0,30,694.70618,36.759998,0,1,0,0,1,0,11,11
1,52,694.70618,36.759998,1,0,0,0,1,0,11,11
1,44,694.70618,36.759998,1,0,0,0,1,0,11,11
0,69,694.70618,36.759998,0,1,0,0,1,0,11,11
1,56,602.38202,36.759998,0,1,0,0,1,0,11,11
1,59,694.70618,36.759998,1,0,0,0,1,0,11,11
0,49,1201.321,102.37,0,1,0,0,1,1,29,12
0,59,1201.321,102.37,0,1,0,0,1,1,29,12
1,42,1201.321,102.37,1,0,1,0,1,1,29,12
1,69,1201.321,102.37,0,1,0,0,1,1,29,12
0,68,1201.321,102.37,0,1,0,1,0,1,29,12
1,53,1201.321,102.37,0,1,0,0,1,1,29,12
0,40,1201.321,102.37,0,1,0,0,1,0,29,12
1,70,1351.486,102.37,0,1,0,0,1,1,29,12
0,38,1201.321,102.37,1,0,0,0,1,0,29,12
0,40,1201.321,102.37,0,1,0,1,1,1,29,12
1,74,1201.321,102.37,0,1,0,0,1,1,29,12
1,59,1201.321,102.37,0,1,0,0,1,0,29,12
1,71,1201.321,102.37,0,1,0,1,1,1,29,12
0,28,1351.486,102.37,0,1,0,0,1,0,29,12
0,69,1201.321,102.37,0,1,0,0,1,1,29,12
1,34,1201.321,102.37,1,0,0,0,1,1,29,12
1,50,1201.321,102.37,0,1,0,0,1,1,29,12
1,34,1201.321,102.37,1,0,0,0,1,1,29,12
1,51,1201.321,102.37,0,1,0,1,1,1,29,12
0,88,1201.321,102.37,0,1,1,0,1,0,29,12
1,54,1201.321,102.37,0,1,0,0,1,0,29,12
1,33,1201.321,102.37,1,0,0,0,1,0,29,12
0,69,1201.321,102.37,0,1,0,0,1,0,29,12
0,58,1201.321,102.37,1,0,1,0,1,1,29,12
0,29,1201.321,102.37,0,1,0,0,1,1,29,12
1,40,316.13229,316.13,0,1,0,0,1,0,11,13
1,39,316.13229,316.13,1,0,0,0,1,1,11,13
0,31,316.13229,316.13,1,0,0,0,1,0,11,13
1,34,316.13229,316.13,0,1,0,1,1,0,11,13
0,38,316.13229,316.13,0,1,0,1,0,0,11,13
0,49,316.13229,316.13,0,1,0,0,1,1,11,13
1,53,316.13229,316.13,0,1,0,0,1,1,11,13
1,53,316.13229,316.13,0,1,0,0,1,0,11,13
1,16,949.04883,180.92,1,0,0,0,1,0,33,14
0,29,949.04883,180.92,1,0,0,0,1,0,33,14
1,30,949.04883,180.92,0,1,0,0,1,0,33,14
1,30,708.14459,37.139999,1,0,0,0,1,0,33,15
1,16,708.14459,37.139999,1,0,0,0,1,0,33,15
0,34,708.14459,37.139999,0,1,0,0,1,0,33,15
0,23,708.14459,37.139999,1,0,0,0,1,0,33,15
1,21,614.03442,37.139999,1,0,0,0,1,0,33,15
1,51,614.03442,37.139999,0,1,1,0,1,0,33,15
1,42,708.14459,37.139999,0,1,0,0,1,0,33,15
1,43,708.14459,37.139999,1,0,0,0,1,0,33,15
0,23,708.14459,37.139999,0,0,0,0,1,0,33,15
1,29,708.14459,37.139999,0,0,0,0,1,0,33,15
0,70,1680.006,86.010002,0,1,0,0,1,1,33,16
0,49,1890.007,86.010002,0,1,0,0,1,1,33,16
0,71,1680.006,86.010002,0,1,0,0,1,0,33,16
0,29,1890.007,86.010002,1,0,0,0,1,1,33,16
1,40,1680.006,86.010002,1,0,0,0,1,1,33,16
1,57,1680.006,86.010002,0,1,0,0,1,1,33,16
1,70,1680.006,86.010002,0,1,0,0,1,1,33,16
0,58,1680.006,86.010002,0,1,0,0,1,0,33,16
0,34,1680.006,86.010002,1,0,1,0,1,1,33,16
0,56,1680.006,86.010002,1,0,0,0,1,0,33,16
1,69,1680.006,86.010002,0,1,0,0,1,1,33,16
0,68,1680.006,86.010002,0,1,0,0,1,1,33,16
1,61,1680.006,86.010002,1,0,0,0,1,1,33,16
0,67,1680.006,86.010002,0,1,0,0,1,1,33,16
1,30,1680.006,86.010002,1,0,0,0,1,1,33,16
0,69,1680.006,86.010002,0,1,0,0,1,1,33,16
1,77,1680.006,86.010002,0,1,0,0,1,1,33,16
1,66,1680.006,86.010002,0,1,0,0,1,1,33,16
1,51,1680.006,86.010002,1,0,0,0,1,0,33,16
0,29,1680.006,86.010002,1,0,0,0,1,1,33,16
1,56,1890.007,86.010002,1,0,0,0,1,0,33,16
1,54,130.30949,34.130001,0,1,0,0,1,1,34,17
0,56,130.30949,34.130001,0,1,0,0,1,1,34,17
0,56,130.30949,34.130001,0,1,0,0,1,0,34,17
0,35,130.30949,34.130001,0,0,0,1,0,0,34,17
0,44,130.30949,34.130001,1,0,0,1,0,0,34,17
1,29,130.30949,34.130001,1,0,0,0,1,0,34,17
1,38,130.30949,34.130001,0,1,0,1,0,0,34,17
0,21,448.75491,54.630001,0,1,0,0,1,0,34,18
1,52,448.75491,54.630001,1,0,0,0,1,0,34,18
0,37,389.1167,54.630001,0,1,1,0,1,0,34,18
1,33,448.75491,54.630001,0,1,0,0,1,1,34,18
1,37,448.75491,54.630001,0,1,0,0,1,0,34,18
1,50,448.75491,54.630001,0,1,0,0,1,1,34,18
0,30,448.75491,54.630001,1,0,0,0,1,0,34,18
0,34,448.75491,54.630001,0,1,0,0,1,1,34,18
0,53,448.75491,54.630001,1,0,0,0,1,0,34,18
0,33,389.1167,54.630001,0,1,0,0,1,0,34,18
0,26,448.75491,54.630001,1,0,0,0,1,1,34,18
0,54,389.1167,54.630001,0,1,0,0,1,0,34,18
1,50,448.75491,54.630001,0,1,1,0,1,1,34,18
1,59,448.75491,54.630001,0,1,0,0,1,1,34,18
1,43,448.75491,54.630001,0,1,0,0,1,1,34,18
0,70,448.75491,54.630001,1,0,0,0,1,1,34,18
1,22,448.75491,54.630001,0,1,0,0,1,0,34,18
1,29,448.75491,54.630001,0,1,0,0,1,0,34,18
0,27,448.75491,54.630001,1,0,0,0,1,0,34,18
1,43,448.75491,54.630001,0,1,0,0,1,0,34,18
0,28,448.75491,54.630001,0,0,0,1,1,0,34,18
0,29,1140.8979,154.39999,0,1,0,0,1,0,34,19
1,30,1140.8979,154.39999,0,1,0,0,1,1,34,19
0,56,1283.51,154.39999,0,1,0,0,1,1,34,19
0,77,1140.8979,154.39999,0,1,0,0,1,1,34,19
1,28,1140.8979,154.39999,0,1,0,0,1,1,34,19
1,30,1140.8979,154.39999,1,0,1,0,1,1,34,19
0,42,1140.8979,154.39999,1,0,0,0,1,1,34,19
1,56,1283.51,154.39999,0,1,0,0,1,0,34,19
1,30,1140.8979,154.39999,1,0,0,0,1,1,34,19
0,59,1140.8979,154.39999,0,1,0,0,1,1,34,19
0,56,1140.8979,154.39999,0,1,0,0,1,1,34,19
0,34,1140.8979,154.39999,1,0,0,0,1,1,34,19
1,43,1140.8979,154.39999,1,0,0,0,1,0,34,19
0,69,1283.51,154.39999,0,1,0,0,1,1,34,19
0,67,1283.51,154.39999,0,1,0,1,0,1,34,19
1,45,1140.8979,154.39999,1,0,0,0,1,1,34,19
1,51,1140.8979,154.39999,1,0,0,0,1,1,34,19
1,29,1140.8979,154.39999,1,0,0,0,1,0,34,19
0,19,1283.51,154.39999,0,1,0,0,1,0,34,19
1,69,1283.51,154.39999,0,1,0,0,1,1,34,19
1,50,1140.8979,154.39999,0,1,0,0,1,1,34,19
0,69,1140.8979,154.39999,0,1,0,0,1,1,34,19
0,88,1283.51,154.39999,0,1,0,0,1,1,34,19
0,64,1283.51,154.39999,0,1,0,0,1,0,34,19
0,77,1140.8979,154.39999,0,1,0,0,1,1,34,19
1,51,2473.2771,2139.6299,0,1,0,0,1,1,41,20
1,67,2473.2771,2139.6299,0,1,0,0,1,0,41,20
0,51,947.28442,646.16998,0,1,0,0,1,0,41,21
0,67,947.28442,646.16998,0,1,0,0,1,0,41,21
0,69,947.28442,646.16998,0,1,0,0,1,1,41,21
1,69,947.28442,646.16998,1,0,0,0,1,1,41,21
1,34,947.28442,646.16998,0,1,0,0,1,0,41,21
0,22,947.28442,646.16998,0,1,0,0,1,1,41,21
0,53,947.28442,646.16998,0,1,0,0,1,1,41,21
1,69,947.28442,646.16998,0,1,0,0,1,0,41,21
1,29,947.28442,646.16998,1,0,0,0,1,0,41,21
1,40,947.28442,646.16998,0,1,0,0,1,0,41,21
0,70,947.28442,646.16998,0,1,0,0,1,0,41,21
0,53,947.28442,646.16998,1,0,0,0,1,0,41,21
1,85,947.28442,646.16998,0,1,0,0,1,1,41,21
1,70,947.28442,646.16998,0,1,0,0,1,1,41,21
0,69,947.28442,646.16998,0,1,0,0,1,1,41,21
1,32,947.28442,646.16998,1,0,0,0,1,0,41,21
1,32,947.28442,646.16998,0,0,0,0,1,0,41,21
0,54,947.28442,646.16998,0,1,0,0,1,0,41,21
1,34,1239.687,111.55,1,0,0,0,1,0,41,22
1,34,1239.687,111.55,1,0,0,0,1,1,41,22
0,43,1239.687,111.55,0,1,0,0,1,0,41,22
0,70,1239.687,111.55,1,0,0,0,1,0,41,22
1,74,1239.687,111.55,0,1,0,0,1,1,41,22
0,34,1239.687,111.55,1,0,0,0,1,0,41,22
1,69,1239.687,111.55,0,1,0,0,1,1,41,22
1,34,1239.687,111.55,1,0,0,0,1,0,41,22
0,38,1239.687,111.55,0,1,0,0,1,0,41,22
1,30,1239.687,111.55,1,0,0,0,1,0,41,22
1,34,1239.687,111.55,1,0,0,0,1,0,41,22
1,34,1239.687,111.55,1,0,0,0,1,0,41,22
1,51,1239.687,111.55,0,1,0,0,1,1,41,22
0,50,1239.687,111.55,1,0,0,0,1,1,41,22
0,16,1239.687,111.55,1,0,0,0,1,0,41,22
0,54,1239.687,111.55,0,1,0,0,1,0,41,22
1,70,355.1358,245.23,0,1,0,0,1,0,42,23
1,29,416.75171,245.23,0,1,0,0,1,0,42,23
0,36,416.75171,245.23,0,0,0,0,1,0,42,23
0,53,355.1358,245.23,1,0,0,0,1,0,42,23
1,29,355.1358,245.23,1,0,0,0,1,0,42,23
0,23,416.75171,245.23,1,0,0,0,1,0,42,23
1,21,416.75171,245.23,1,0,0,0,1,0,42,23
0,29,416.75171,245.23,0,0,0,0,1,0,42,23
1,29,355.1358,245.23,0,0,0,0,1,0,42,23
0,21,355.1358,245.23,1,0,0,0,1,0,42,23
1,21,416.75171,245.23,0,1,0,0,1,1,42,23
1,59,416.75171,245.23,0,1,0,0,1,0,42,23
0,34,355.1358,245.23,0,1,0,0,1,0,42,23
0,28,380.57849,167.53,1,0,0,0,1,0,42,24
1,53,324.31061,167.53,1,0,0,0,1,0,42,24
1,30,324.31061,167.53,1,0,0,0,1,1,42,24
1,32,324.31061,167.53,0,1,0,0,1,0,42,24
1,16,324.31061,167.53,0,1,0,0,1,0,42,24
0,25,324.31061,167.53,0,1,0,0,1,0,42,24
0,28,324.31061,167.53,0,1,0,0,1,0,42,24
0,28,324.31061,167.53,1,0,0,0,1,0,42,24
1,29,380.57849,167.53,0,1,0,0,1,0,42,24
1,21,380.57849,167.53,0,0,0,0,1,0,42,24
0,28,380.57849,167.53,0,1,0,0,1,0,42,24
1,30,380.57849,167.53,0,1,0,0,1,0,42,24
0,53,380.57849,167.53,0,1,0,0,1,0,42,24
0,16,380.57849,167.53,0,1,0,0,1,0,42,24
1,51,380.57849,167.53,1,0,0,0,1,0,42,24
1,23,368.2662,122.76,0,0,0,0,1,0,42,25
0,56,368.2662,122.76,1,0,0,0,1,0,42,25
1,29,368.2662,122.76,1,0,0,0,1,0,42,25
1,34,368.2662,122.76,1,0,0,0,1,0,42,25
1,30,368.2662,122.76,0,1,0,0,1,0,42,25
0,29,368.2662,122.76,0,1,0,0,1,0,42,25
1,30,368.2662,122.76,0,1,0,0,1,0,42,25
0,30,368.2662,122.76,1,0,0,0,1,0,42,25
1,21,368.2662,122.76,1,0,0,0,1,0,42,25
0,29,368.2662,122.76,1,0,0,0,1,0,42,25
1,33,368.2662,122.76,0,1,0,0,1,0,42,25
1,24,368.2662,122.76,1,0,0,0,1,1,42,25
1,34,368.2662,122.76,0,1,0,0,1,0,42,25
0,30,368.2662,122.76,1,0,0,0,1,0,42,25
1,38,368.2662,122.76,1,0,0,0,1,0,42,25
1,54,368.2662,122.76,0,1,0,0,1,1,42,25
0,29,368.2662,122.76,0,1,0,0,1,0,42,25
0,70,368.2662,122.76,1,0,0,0,1,0,42,25
1,22,2380.9529,1821.74,1,0,0,0,1,0,42,26
0,34,2380.9529,1821.74,1,0,0,0,1,0,42,26
1,30,856.00928,151.81,1,0,0,0,1,0,42,27
1,67,856.00928,151.81,0,1,0,0,1,0,42,27
1,46,856.00928,151.81,0,1,1,0,1,1,42,27
1,19,856.00928,151.81,1,0,0,0,1,1,42,27
1,28,856.00928,151.81,1,0,0,0,1,0,42,27
0,34,856.00928,151.81,1,0,0,0,1,1,42,27
1,34,856.00928,151.81,0,1,0,0,1,1,42,27
0,67,1004.527,151.81,1,0,0,0,1,0,42,27
1,32,856.00928,151.81,1,0,0,0,1,0,42,27
1,59,856.00928,151.81,0,1,0,0,1,1,42,27
1,29,856.00928,151.81,0,1,0,0,1,0,42,27
1,29,1004.527,151.81,1,0,0,0,1,0,42,27
0,30,856.00928,151.81,0,1,0,0,1,0,42,27
1,22,856.00928,151.81,1,0,0,0,1,0,42,27
1,68,856.00928,151.81,0,1,0,0,1,0,42,27
1,35,856.00928,151.81,0,1,0,0,1,0,42,27
1,29,856.00928,151.81,0,1,0,0,1,0,42,27
1,64,856.00928,151.81,0,1,0,0,1,1,42,27
0,50,856.00928,151.81,1,0,0,0,1,0,42,27
0,29,856.00928,151.81,0,0,0,0,1,1,42,27
1,21,290.5679,98.489998,1,0,0,0,1,0,42,28
1,34,290.5679,98.489998,1,0,0,0,1,1,42,28
1,74,290.5679,98.489998,0,1,0,0,1,1,42,28
0,69,290.5679,98.489998,0,1,0,0,1,1,42,28
1,67,290.5679,98.489998,1,0,0,0,1,0,42,28
0,30,290.5679,98.489998,1,0,0,0,1,0,42,28
1,34,290.5679,98.489998,1,0,0,0,1,1,42,28
1,69,290.5679,98.489998,0,1,0,0,1,1,42,28
1,37,290.5679,98.489998,1,0,0,0,1,0,42,28
0,40,290.5679,98.489998,1,0,0,0,1,0,42,28
1,56,290.5679,98.489998,1,0,0,0,1,1,42,28
1,33,290.5679,98.489998,1,0,0,0,1,1,42,28
1,50,290.5679,98.489998,1,0,0,0,1,1,42,28
0,29,290.5679,98.489998,1,0,0,0,1,1,42,28
0,33,290.5679,98.489998,0,1,0,0,1,0,42,28
0,43,290.5679,98.489998,1,0,0,0,1,0,42,28
0,50,290.5679,98.489998,1,0,0,0,1,0,42,28
1,40,540.03632,149.55,0,1,0,0,1,1,41,29
0,50,540.03632,149.55,1,0,0,0,1,0,41,29
0,25,540.03632,149.55,1,0,0,0,1,0,41,29
1,22,540.03632,149.55,1,0,0,0,1,0,41,29
0,53,540.03632,149.55,0,1,0,0,1,0,41,29
1,23,540.03632,149.55,0,1,0,0,1,0,41,29
1,40,540.03632,149.55,1,0,0,0,1,0,41,29
1,67,540.03632,149.55,1,0,0,0,1,1,41,29
1,25,540.03632,149.55,0,0,0,0,1,0,41,29
0,41,540.03632,149.55,1,0,0,0,1,0,41,29
1,40,540.03632,149.55,0,0,0,0,1,0,41,29
1,40,540.03632,149.55,0,1,0,0,1,0,41,29
0,34,454.3866,75.940002,0,0,0,0,1,0,41,30
1,30,454.3866,75.940002,0,1,0,0,1,1,41,30
1,67,454.3866,75.940002,0,1,0,0,1,0,41,30
1,74,454.3866,75.940002,0,1,0,0,1,1,41,30
1,28,533.22247,75.940002,0,1,0,0,1,0,41,30
1,21,454.3866,75.940002,1,0,0,0,1,0,41,30
1,58,454.3866,75.940002,1,0,1,0,1,1,41,30
0,30,454.3866,75.940002,1,0,0,0,1,0,41,30
1,30,533.22247,75.940002,1,0,0,0,1,0,41,30
1,38,454.3866,75.940002,0,1,0,0,1,0,41,30
1,51,454.3866,75.940002,1,0,0,0,1,0,41,30
1,21,454.3866,75.940002,1,0,0,0,1,0,41,30
0,34,533.22247,75.940002,0,1,0,0,1,0,41,30
0,31,533.22247,75.940002,0,0,0,0,1,0,41,30
1,34,533.22247,75.940002,1,0,0,0,1,0,41,30
0,53,454.3866,75.940002,1,0,0,0,1,0,41,30
1,34,454.3866,75.940002,0,0,0,0,1,0,41,30
0,40,144.7146,96.360001,1,0,1,0,1,0,36,31
1,36,144.7146,96.360001,1,0,0,1,0,0,36,31
1,56,537.22662,29.370001,0,1,0,0,1,0,36,32
1,85,537.22662,29.370001,0,1,0,1,0,0,36,32
1,77,537.22662,29.370001,0,1,0,0,1,0,36,32
0,77,537.22662,29.370001,1,0,1,0,1,1,36,32
1,53,537.22662,29.370001,0,1,0,0,1,1,36,32
0,29,537.22662,29.370001,0,1,0,0,1,1,36,32
1,51,537.22662,29.370001,0,1,0,0,1,1,36,32
1,40,537.22662,29.370001,0,0,0,1,1,0,36,32
0,54,537.22662,29.370001,1,0,0,1,0,0,36,32
1,51,537.22662,29.370001,0,1,0,0,1,0,36,32
1,67,537.22662,29.370001,1,0,0,0,1,1,36,32
0,68,537.22662,29.370001,0,1,0,1,1,0,36,32
1,31,537.22662,29.370001,0,1,0,0,1,1,36,32
0,23,537.22662,29.370001,1,0,0,1,1,0,36,32
1,30,537.22662,29.370001,1,0,1,0,1,0,36,32
0,23,537.22662,29.370001,1,0,0,0,1,0,36,32
1,56,537.22662,29.370001,0,1,1,0,1,1,36,32
0,66,537.22662,29.370001,0,1,1,0,1,0,36,32
0,50,537.22662,29.370001,0,1,0,1,1,0,36,32
1,56,537.22662,29.370001,0,1,0,1,0,0,36,32
0,56,763.87,21.52,0,1,0,1,0,0,36,33
1,67,763.87,21.52,1,0,0,1,0,0,36,33
1,59,763.87,21.52,1,0,0,0,1,0,36,33
0,30,763.87,21.52,0,0,0,1,1,0,36,33
0,59,660.05701,16.77,0,1,0,1,0,0,36,34
0,69,660.05701,16.77,0,1,0,1,1,0,36,34
1,53,660.05701,16.77,0,1,0,1,0,1,36,34
0,56,660.05701,16.77,1,0,0,1,0,0,36,34
0,30,660.05701,16.77,0,1,1,0,1,0,36,34
1,69,660.05701,16.77,0,1,1,0,1,1,36,34
1,38,660.05701,16.77,0,1,0,1,0,0,36,34
1,23,660.05701,16.77,1,0,0,1,0,1,36,34
1,34,660.05701,16.77,0,1,0,1,0,1,36,34
0,59,622.50739,57.959999,1,0,0,0,1,1,36,35
0,43,622.50739,57.959999,0,1,0,0,1,0,36,35
1,49,622.50739,57.959999,0,1,0,0,1,1,36,35
0,70,622.50739,57.959999,0,1,0,0,1,1,36,35
1,51,622.50739,57.959999,0,1,0,0,1,1,36,35
1,50,622.50739,57.959999,0,1,0,0,1,1,36,35
0,51,622.50739,57.959999,1,0,0,0,1,0,36,35
0,30,622.50739,57.959999,1,0,0,0,1,1,36,35
0,56,622.50739,57.959999,1,0,0,0,1,1,36,35
1,50,622.50739,57.959999,0,1,0,0,1,1,36,35
0,88,622.50739,57.959999,0,1,0,0,1,1,36,35
1,33,622.50739,57.959999,0,1,0,0,1,1,36,35
0,31,622.50739,57.959999,1,0,0,0,1,1,36,35
0,40,515.0528,36.220001,0,1,0,0,1,1,36,36
1,59,515.0528,36.220001,1,0,0,0,1,1,36,36
1,43,515.0528,36.220001,0,1,0,0,1,0,36,36
1,69,515.0528,36.220001,0,1,0,0,1,1,36,36
0,56,515.0528,36.220001,0,1,0,0,1,0,36,36
0,45,515.0528,36.220001,0,1,0,0,1,0,36,36
1,34,515.0528,36.220001,0,1,0,0,1,0,36,36
