school,student,girl,schgend,gcse,lrt
4,67,0,1,81.757996,76.934998
4,68,0,1,57.805,52.9664
4,69,0,1,63.769501,59.57848
4,70,1,1,93.136002,64.537598
4,71,0,1,53.763,50.486801
4,72,0,1,64.448898,60.404991
4,73,1,1,67.348404,67.843597
4,74,0,1,61.473301,57.0989
4,75,1,1,77.472298,67.843597
4,76,1,1,81.094002,78.587997
4,77,0,1,89.002998,74.456001
4,78,0,1,69.37912,54.6194
4,79,0,1,73.280701,61.231499
5,1,1,1,80.395996,56.2724
5,2,0,1,80.395996,62.057999
5,3,1,1,71.941498,62.884499
5,4,0,1,71.941498,60.404991
5,5,0,1,72.613197,69.496704
5,6,1,1,85.061996,67.017097
5,7,1,1,73.280701,71.975998
5,8,1,1,68.709198,56.2724
5,9,1,1,58.813999,56.2724
5,10,1,1,71.941498,65.364098
5,11,0,1,73.280701,58.751999
5,12,0,1,81.094002,77.762001
5,13,1,1,77.472298,64.537598
5,14,0,1,69.37912,56.2724
5,15,0,1,74.026703,57.9254
5,16,1,1,91.029999,80.240997
5,17,0,1,73.280701,53.7929
5,18,0,1,85.792,57.9254
5,19,1,1,76.1073,62.884499
5,20,1,1,76.787598,66.190598
5,21,0,1,71.941498,65.364098
5,22,1,1,68.709198,48.007
5,23,1,1,81.757996,56.2724
5,24,0,1,72.613197,67.017097
5,25,1,1,84.394997,71.975998
5,26,0,1,74.781898,61.231499
5,27,1,1,57.805,52.9664
5,28,0,1,65.072197,57.0989
5,29,0,1,83.100998,64.537598
5,30,0,1,76.1073,65.364098
5,31,1,1,62.238899,52.139801
5,32,1,1,57.805,56.2724
5,33,0,1,81.757996,68.670097
5,34,1,1,74.026703,65.364098
5,35,1,1,65.802002,57.0989
6,1,1,3,76.1073,55.4459
6,2,1,3,80.395996,64.537598
6,3,1,3,78.965698,65.364098
6,4,1,3,74.026703,68.670097
6,5,1,3,71.941498,75.281998
6,6,1,3,89.002998,68.670097
6,7,1,3,70.735359,79.415001
6,8,1,3,83.100998,76.109001
6,9,1,3,90.397003,68.670097
6,10,1,3,85.792,66.190598
6,11,1,3,89.002998,62.057999
6,12,1,3,67.348404,62.057999
6,13,1,3,89.770996,81.893997
6,14,1,3,78.219902,66.190598
6,15,1,3,77.472298,49.66
6,16,1,3,86.617996,82.721001
6,17,1,3,93.136002,65.364098
6,18,1,3,83.747002,65.364098
6,19,1,3,87.348999,71.975998
6,20,1,3,76.787598,67.843597
6,21,1,3,92.030998,78.587997
6,22,1,3,84.394997,61.231499
6,23,1,3,74.026703,60.404991
6,24,1,3,80.395996,58.751999
6,25,1,3,65.802002,56.2724
6,26,1,3,72.613197,49.66
6,27,1,3,82.404999,72.803001
6,28,1,3,74.781898,68.670097
6,29,1,3,80.395996,50.486801
6,30,1,3,78.965698,68.670097
6,31,1,3,91.029999,83.546997
6,32,1,3,75.443398,56.2724
6,33,1,3,79.675903,81.893997
6,34,1,3,85.792,72.803001
6,35,1,3,96.266998,80.240997
6,36,1,3,82.404999,63.710999
6,37,1,3,76.1073,69.496704
6,38,1,3,83.747002,68.670097
6,39,1,3,82.404999,62.884499
6,40,1,3,89.770996,74.456001
6,41,1,3,78.219902,61.231499
6,42,1,3,52.761002,45.528
6,43,1,3,70.735359,66.190598
6,44,1,3,85.792,71.975998
6,45,1,3,85.792,69.496704
6,46,1,3,93.136002,71.975998
6,47,1,3,71.941498,63.710999
6,48,1,3,87.348999,82.721001
6,49,1,3,87.348999,78.587997
6,50,1,3,70.043221,56.2724
6,51,1,3,79.675903,57.9254
6,52,1,3,83.747002,58.751999
6,53,1,3,83.100998,80.240997
6,54,1,3,75.443398,62.884499
6,55,1,3,85.792,73.628998
6,56,1,3,63.004898,60.404991
6,57,1,3,82.404999,76.934998
6,58,1,3,81.757996,65.364098
6,59,1,3,74.026703,62.057999
6,60,1,3,87.348999,71.975998
6,61,1,3,60.606201,62.884499
6,62,1,3,74.026703,63.710999
6,63,1,3,83.100998,66.190598
6,64,1,3,70.043221,59.57848
6,65,1,3,81.094002,57.0989
6,66,1,3,78.965698,60.404991
6,67,1,3,65.072197,57.9254
6,68,1,3,74.781898,53.7929
6,69,1,3,78.219902,68.670097
6,70,1,3,76.787598,61.231499
6,71,1,3,88.138,70.322998
6,72,1,3,85.061996,71.150002
6,73,1,3,79.675903,61.231499
6,74,1,3,73.280701,56.2724
6,75,1,3,65.802002,64.537598
6,76,1,3,73.280701,58.751999
6,77,1,3,73.280701,76.109001
6,78,1,3,63.769501,65.364098
6,79,1,3,89.770996,71.150002
6,80,1,3,83.100998,62.884499
7,1,1,3,48.914001,62.884499
7,2,1,3,65.802002,36.436001
7,3,1,3,74.781898,52.9664
7,4,1,3,72.613197,56.2724
7,5,1,3,56.646999,48.834
7,6,1,3,77.472298,62.057999
7,7,1,3,65.802002,61.231499
7,8,1,3,70.043221,55.4459
7,9,1,3,74.781898,60.404991
7,10,1,3,85.792,70.322998
7,11,1,3,86.617996,49.66
7,12,1,3,78.965698,58.751999
7,13,1,3,79.675903,60.404991
7,14,1,3,83.747002,69.496704
7,15,1,3,78.219902,57.9254
7,16,1,3,73.280701,56.2724
7,17,1,3,82.404999,64.537598
7,18,1,3,70.043221,65.364098
7,19,1,3,65.072197,54.6194
7,20,1,3,78.965698,57.9254
7,21,1,3,75.443398,57.0989
7,22,1,3,67.348404,59.57848
7,23,1,3,71.941498,54.6194
7,24,1,3,89.770996,76.934998
7,25,1,3,83.100998,58.751999
7,26,1,3,87.348999,57.0989
7,27,1,3,74.781898,52.9664
7,28,1,3,81.094002,57.9254
7,29,1,3,82.404999,84.374001
7,30,1,3,76.787598,78.587997
7,31,1,3,61.473301,51.313301
7,32,1,3,76.1073,52.9664
7,33,1,3,64.448898,59.57848
7,34,1,3,84.394997,79.415001
7,35,1,3,71.941498,54.6194
7,36,1,3,77.472298,57.9254
7,37,1,3,78.219902,82.721001
7,38,1,3,82.404999,60.404991
7,39,1,3,73.280701,61.231499
7,40,1,3,78.219902,58.751999
7,41,1,3,81.757996,73.628998
7,42,1,3,70.735359,55.4459
7,43,1,3,78.219902,55.4459
7,44,1,3,63.769501,56.2724
7,45,1,3,81.757996,47.181
7,46,1,3,63.769501,57.0989
7,47,1,3,68.023903,52.139801
7,48,1,3,74.781898,57.9254
7,49,1,3,68.709198,58.751999
7,50,1,3,71.340698,60.404991
7,51,1,3,75.443398,61.231499
7,52,1,3,74.781898,66.190598
7,53,1,3,71.941498,60.404991
7,54,1,3,86.617996,43.048
7,55,1,3,56.646999,51.313301
7,56,1,3,79.675903,55.4459
7,57,1,3,72.613197,62.884499
7,58,1,3,81.094002,67.843597
7,59,1,3,73.280701,58.751999
7,60,1,3,72.613197,50.486801
7,61,1,3,63.769501,71.975998
7,62,1,3,59.709,70.322998
7,63,1,3,79.675903,73.628998
7,64,1,3,80.395996,66.190598
7,65,1,3,74.781898,53.7929
7,66,1,3,73.280701,52.139801
7,67,1,3,61.473301,40.569
7,68,1,3,81.094002,57.9254
7,69,1,3,69.37912,55.4459
7,70,1,3,78.219902,62.057999
7,71,1,3,73.280701,73.628998
7,72,1,3,65.802002,52.139801
7,73,1,3,68.023903,80.240997
7,74,1,3,68.023903,50.486801
7,75,1,3,60.606201,62.884499
7,76,1,3,79.675903,63.710999
7,77,1,3,71.941498,57.9254
7,78,1,3,66.611603,52.9664
7,79,1,3,73.280701,52.9664
7,80,1,3,85.061996,57.0989
7,81,1,3,71.941498,64.537598
7,82,1,3,70.735359,62.884499
7,83,1,3,76.787598,65.364098
7,84,1,3,80.395996,56.2724
7,85,1,3,85.061996,59.57848
7,86,1,3,74.781898,62.057999
7,87,1,3,62.238899,49.66
7,88,1,3,73.280701,55.4459
8,1,1,3,65.802002,52.9664
8,2,1,3,71.340698,76.109001
8,3,1,3,83.747002,69.496704
8,4,1,3,79.675903,85.199997
8,5,1,3,59.709,57.0989
8,6,1,3,58.813999,37.263
8,7,1,3,89.002998,69.496704
8,8,1,3,77.472298,71.975998
8,9,1,3,53.763,48.834
8,10,1,3,58.813999,52.139801
8,11,1,3,93.136002,76.109001
8,12,1,3,77.472298,60.404991
8,13,1,3,80.395996,72.803001
8,14,1,3,61.473301,61.231499
8,15,1,3,70.735359,38.089001
8,16,1,3,78.219902,66.190598
8,17,1,3,64.448898,50.486801
8,18,1,3,68.709198,38.089001
8,19,1,3,66.611603,46.354
8,20,1,3,56.646999,59.57848
8,21,1,3,77.472298,56.2724
8,22,1,3,70.043221,48.007
8,23,1,3,68.709198,79.415001
8,24,1,3,70.735359,69.496704
8,25,1,3,76.787598,68.670097
8,26,1,3,78.219902,53.7929
8,27,1,3,81.094002,62.884499
8,28,1,3,71.941498,65.364098
8,29,1,3,55.612999,55.4459
8,30,1,3,61.473301,55.4459
8,31,1,3,63.004898,53.7929
8,32,1,3,61.473301,49.66
8,33,1,3,60.606201,54.6194
8,34,1,3,67.348404,62.057999
8,35,1,3,77.472298,59.57848
8,36,1,3,73.280701,70.322998
8,37,1,3,72.613197,55.4459
8,38,1,3,65.802002,62.884499
8,39,1,3,75.443398,60.404991
8,40,1,3,68.709198,52.9664
8,41,1,3,79.675903,69.496704
8,42,1,3,70.043221,67.843597
8,43,1,3,89.002998,67.843597
8,44,1,3,67.348404,52.9664
8,45,1,3,59.709,46.354
8,46,1,3,53.763,48.007
8,47,1,3,79.675903,66.190598
8,48,1,3,68.709198,45.528
8,49,1,3,68.023903,52.9664
8,50,1,3,76.1073,59.57848
8,51,1,3,51.632999,52.139801
8,52,1,3,65.802002,88.505997
8,53,1,3,59.709,53.7929
8,54,1,3,75.443398,52.9664
8,55,1,3,88.138,69.496704
8,56,1,3,70.043221,62.884499
8,57,1,3,56.646999,66.190598
8,58,1,3,71.941498,61.231499
8,59,1,3,62.238899,47.181
8,60,1,3,69.37912,62.057999
8,61,1,3,84.394997,61.231499
8,62,1,3,73.280701,56.2724
8,63,1,3,71.941498,56.2724
8,64,1,3,88.138,57.9254
8,65,1,3,95.323997,88.505997
8,66,1,3,73.280701,57.0989
8,67,1,3,65.802002,53.7929
8,68,1,3,50.378998,68.670097
8,69,1,3,51.632999,40.569
8,70,1,3,93.136002,90.160004
8,71,1,3,62.238899,51.313301
8,72,1,3,74.026703,62.884499
8,73,1,3,68.023903,55.4459
8,74,1,3,68.709198,57.9254
8,75,1,3,48.914001,63.710999
8,76,1,3,71.340698,61.231499
8,77,1,3,87.348999,80.240997
8,78,1,3,70.735359,59.57848
8,79,1,3,64.448898,57.9254
8,80,1,3,71.941498,61.231499
8,81,1,3,64.448898,54.6194
8,82,1,3,55.612999,39.742001
8,83,1,3,65.072197,72.803001
8,84,1,3,65.072197,57.0989
8,85,1,3,86.617996,72.803001
8,86,1,3,64.448898,54.6194
8,87,1,3,55.612999,38.089001
8,88,1,3,63.769501,49.66
8,89,1,3,60.606201,70.322998
8,90,1,3,66.611603,60.404991
8,91,1,3,82.404999,65.364098
8,92,1,3,76.1073,66.190598
8,93,1,3,69.37912,54.6194
8,94,1,3,47.083,35.610001
8,95,1,3,70.735359,53.7929
8,96,1,3,65.072197,60.404991
8,97,1,3,63.004898,55.4459
8,98,1,3,51.632999,51.313301
8,99,1,3,56.646999,52.139801
8,100,1,3,73.280701,62.057999
8,101,1,3,72.613197,62.057999
8,102,1,3,83.100998,67.843597
9,1,0,1,54.733002,62.057999
9,2,0,1,58.813999,62.057999
9,3,0,1,56.646999,30.650002
9,4,0,1,85.792,52.9664
9,5,0,1,65.072197,43.875
9,6,0,1,64.448898,52.9664
9,7,1,1,63.004898,38.089001
9,8,0,1,74.026703,66.190598
9,9,1,1,60.606201,43.875
9,10,0,1,63.769501,42.222
9,11,0,1,78.965698,70.322998
9,12,0,1,70.735359,62.057999
9,13,1,1,77.472298,66.190598
9,14,0,1,69.37912,52.9664
9,15,1,1,63.769501,52.139801
9,16,0,1,63.004898,65.364098
9,17,0,1,59.709,57.0989
9,18,1,1,64.448898,69.496704
9,19,1,1,67.348404,42.222
9,20,0,1,56.646999,46.354
9,21,1,1,74.781898,61.231499
9,22,0,1,67.348404,58.751999
9,23,1,1,75.443398,59.57848
9,24,0,1,53.763,33.129997
9,25,0,1,48.914001,30.650002
9,26,0,1,68.709198,63.710999
9,27,0,1,70.735359,68.670097
9,28,0,1,70.735359,68.670097
9,29,1,1,56.646999,53.7929
9,30,1,1,58.813999,53.7929
9,31,0,1,54.733002,55.4459
9,32,1,1,74.781898,71.975998
9,33,1,1,68.023903,52.139801
9,34,1,1,70.043221,61.231499
10,1,0,1,74.026703,71.150002
10,2,0,1,66.611603,54.6194
10,3,1,1,72.613197,45.528
10,4,0,1,65.802002,56.2724
10,5,0,1,71.340698,67.017097
10,6,0,1,66.611603,56.2724
10,7,0,1,85.792,62.884499
10,8,1,1,70.735359,57.9254
10,9,1,1,71.340698,62.884499
10,10,0,1,70.043221,59.57848
10,11,0,1,70.043221,65.364098
10,12,0,1,63.769501,70.322998
10,13,1,1,69.37912,67.017097
10,14,0,1,65.802002,71.150002
10,15,0,1,71.340698,59.57848
10,16,0,1,70.043221,60.404991
10,17,0,1,65.802002,62.057999
10,18,0,1,60.606201,61.231499
10,19,1,1,68.709198,60.404991
10,20,0,1,67.348404,61.231499
10,21,1,1,66.611603,66.190598
10,22,1,1,60.606201,55.4459
10,23,0,1,74.026703,65.364098
10,24,1,1,63.769501,70.322998
10,25,1,1,63.769501,57.9254
10,26,0,1,58.813999,66.190598
10,27,0,1,66.611603,52.139801
10,28,0,1,67.348404,65.364098
10,29,1,1,62.238899,60.404991
10,30,0,1,70.043221,78.587997
10,31,0,1,53.763,65.364098
10,32,1,1,59.709,51.313301
10,33,1,1,72.613197,57.0989
10,34,1,1,70.735359,61.231499
10,35,0,1,59.709,48.834
10,36,1,1,85.792,80.240997
10,37,1,1,65.072197,60.404991
10,38,0,1,54.733002,52.9664
10,39,1,1,72.613197,69.496704
10,40,0,1,65.072197,59.57848
10,41,0,1,57.805,59.57848
10,42,0,1,68.709198,76.109001
10,43,0,1,67.348404,68.670097
10,44,1,1,76.787598,73.628998
10,45,0,1,54.733002,64.537598
10,46,0,1,63.004898,55.4459
10,47,1,1,69.37912,57.0989
10,48,0,1,60.606201,50.486801
10,49,0,1,70.735359,52.139801
10,50,1,1,74.781898,59.57848
11,1,0,2,73.280701,64.537598
11,2,0,2,70.043221,53.7929
11,3,0,2,75.443398,71.975998
11,4,0,2,78.965698,55.4459
11,5,0,2,80.395996,56.2724
11,6,0,2,86.617996,62.884499
11,7,0,2,78.219902,76.934998
11,8,0,2,90.397003,79.415001
11,9,0,2,74.026703,66.190598
11,10,0,2,89.002998,67.017097
11,11,0,2,83.100998,73.628998
11,12,0,2,70.043221,61.231499
11,13,0,2,53.763,46.354
11,14,0,2,70.735359,71.150002
11,15,0,2,70.043221,79.415001
11,16,0,2,70.735359,58.751999
11,17,0,2,92.030998,72.803001
11,18,0,2,63.769501,60.404991
11,19,0,2,92.030998,84.374001
11,20,0,2,73.280701,60.404991
11,21,0,2,76.787598,61.231499
11,22,0,2,74.781898,54.6194
11,23,0,2,89.002998,65.364098
11,24,0,2,75.443398,66.190598
11,25,0,2,73.280701,62.057999
11,26,0,2,70.043221,63.710999
11,27,0,2,71.340698,65.364098
11,28,0,2,59.709,66.190598
11,29,0,2,87.348999,74.456001
11,30,0,2,71.941498,48.834
11,31,0,2,74.781898,54.6194
11,32,0,2,71.941498,72.803001
11,33,0,2,48.914001,54.6194
11,34,0,2,61.473301,57.0989
11,35,0,2,85.061996,82.721001
11,36,0,2,71.340698,88.505997
11,37,0,2,81.757996,60.404991
11,38,0,2,72.613197,50.486801
11,39,0,2,78.219902,50.486801
11,40,0,2,79.675903,62.884499
11,41,0,2,71.941498,67.843597
11,42,0,2,83.747002,71.150002
11,43,0,2,76.787598,71.150002
11,44,0,2,89.002998,80.240997
11,45,0,2,65.072197,62.884499
11,46,0,2,69.37912,70.322998
11,47,0,2,73.280701,65.364098
11,48,0,2,83.747002,73.628998
11,49,0,2,80.395996,76.109001
11,50,0,2,77.472298,78.587997
11,51,0,2,65.802002,45.528
11,52,0,2,85.792,76.934998
11,53,0,2,75.443398,63.710999
11,54,0,2,73.280701,63.710999
11,55,0,2,80.395996,76.934998
11,56,0,2,79.675903,81.068001
11,57,0,2,71.941498,72.803001
11,58,0,2,81.757996,71.975998
11,59,0,2,61.473301,58.751999
11,60,0,2,74.781898,57.9254
11,61,0,2,77.472298,73.628998
11,62,0,2,75.443398,67.843597
12,1,1,1,63.769501,50.486801
12,2,1,1,77.472298,66.190598
12,3,0,1,52.761002,48.834
12,4,1,1,70.043221,71.150002
12,5,0,1,75.443398,67.017097
12,6,1,1,74.026703,61.231499
12,7,1,1,75.443398,67.017097
12,8,0,1,58.813999,52.9664
12,9,0,1,48.914001,55.4459
12,10,1,1,81.094002,59.57848
12,11,0,1,76.787598,61.231499
12,12,1,1,72.613197,56.2724
12,13,0,1,78.965698,62.884499
12,14,0,1,65.802002,57.9254
12,15,1,1,82.404999,71.150002
12,16,0,1,67.348404,50.486801
12,17,1,1,71.941498,64.537598
12,18,1,1,72.613197,71.150002
12,19,1,1,60.606201,55.4459
12,20,0,1,78.219902,60.404991
12,21,0,1,65.802002,51.313301
12,22,0,1,68.023903,52.9664
12,23,0,1,56.646999,57.9254
12,24,1,1,66.611603,52.9664
12,25,1,1,65.072197,71.150002
12,26,0,1,64.448898,47.181
12,27,1,1,70.735359,68.670097
12,28,0,1,53.763,43.875
12,29,1,1,78.965698,67.843597
12,30,0,1,67.348404,71.975998
12,31,0,1,54.733002,51.313301
12,32,1,1,63.004898,40.569
12,33,0,1,70.043221,75.281998
12,34,1,1,71.340698,67.843597
12,35,1,1,78.965698,63.710999
12,36,0,1,70.043221,57.9254
12,37,1,1,64.448898,67.843597
12,38,1,1,71.941498,60.404991
12,39,1,1,78.965698,53.7929
12,40,0,1,71.340698,48.007
12,41,1,1,68.023903,52.9664
12,42,0,1,73.280701,56.2724
12,43,0,1,73.280701,72.803001
12,44,0,1,76.787598,66.190598
12,45,1,1,76.787598,60.404991
12,46,0,1,59.709,58.751999
12,47,1,1,70.735359,64.537598
13,1,1,1,64.448898,48.007
13,2,0,1,63.004898,52.139801
13,3,1,1,60.606201,42.222
13,4,1,1,72.613197,57.0989
13,5,1,1,71.340698,70.322998
13,6,1,1,75.443398,62.057999
13,7,1,1,64.448898,52.139801
13,8,0,1,65.802002,66.190598
13,9,0,1,51.632999,54.6194
13,10,0,1,52.761002,48.834
13,11,1,1,71.340698,59.57848
13,12,0,1,54.733002,40.569
13,13,1,1,70.735359,55.4459
13,14,0,1,57.805,30.650002
13,15,1,1,63.769501,57.9254
13,16,1,1,85.061996,74.456001
13,17,0,1,81.094002,72.803001
13,18,1,1,50.378998,48.834
13,19,1,1,56.646999,66.190598
13,20,1,1,93.136002,76.109001
13,21,0,1,55.612999,38.916
13,22,0,1,55.612999,49.66
13,23,1,1,61.473301,51.313301
13,24,0,1,67.348404,56.2724
13,25,1,1,59.709,56.2724
