school,student,gcse,lrt,girl,schgend,avslrt,schav,vrband,meanLRT,sdLRT,lrt_orig
2,3,6.1072998,2.8845,1,3,3.9514999,3,2,48.201733,5.3264241,49.73814
2,4,4.7818999,7.0170999,1,3,3.9514999,3,1,48.201733,5.3264241,51.939339
2,5,-11.186,-6.2070999,1,3,3.9514999,3,2,48.201733,5.3264241,44.895569
2,6,17.348999,12.803,1,3,3.9514999,3,1,48.201733,5.3264241,55.021152
2,7,24.087,6.1905999,1,3,3.9514999,3,1,48.201733,5.3264241,51.499107
2,8,29.247,9.4967003,1,3,3.9514999,3,1,48.201733,5.3264241,53.260078
2,9,27.018002,-4.5541,1,3,3.9514999,3,2,48.201733,5.3264241,45.776028
2,10,13.101,11.976,1,3,3.9514999,3,1,48.201733,5.3264241,54.580658
2,11,15.061999,10.323,1,3,3.9514999,3,1,48.201733,5.3264241,53.700199
2,12,-1.2908,-12.819,1,3,3.9514999,3,3,48.201733,5.3264241,41.373791
2,13,-1.2908,-5.3806,1,3,3.9514999,3,2,48.201733,5.3264241,45.335796
2,14,6.1072998,13.629,1,3,3.9514999,3,1,48.201733,5.3264241,55.461117
2,15,31.34,10.323,1,3,3.9514999,3,1,48.201733,5.3264241,53.700199
2,16,22.031,12.803,1,3,3.9514999,3,1,48.201733,5.3264241,55.021152
2,17,5.4434004,3.711,1,3,3.9514999,3,2,48.201733,5.3264241,50.178368
2,18,-6.2304997,-4.5541,1,3,3.9514999,3,2,48.201733,5.3264241,45.776028
2,19,14.395,.40499002,1,3,3.9514999,3,2,48.201733,5.3264241,48.417446
2,20,10.396,-2.9010999,1,3,3.9514999,3,2,48.201733,5.3264241,46.656483
2,21,.043218002,-6.2070999,1,3,3.9514999,3,2,48.201733,5.3264241,44.895569
2,22,4.0267,7.8435998,1,3,3.9514999,3,1,48.201733,5.3264241,52.379566
2,23,-6.2304997,-7.8601999,1,3,3.9514999,3,2,48.201733,5.3264241,44.015057
2,24,13.101,19.414999,1,3,3.9514999,3,1,48.201733,5.3264241,58.542984
2,25,-10.290999,-8.6866999,1,3,3.9514999,3,2,48.201733,5.3264241,43.574829
2,26,24.087,19.414999,1,3,3.9514999,3,1,48.201733,5.3264241,58.542984
2,27,8.2199001,-3.7276001,1,3,3.9514999,3,2,48.201733,5.3264241,46.216255
2,28,6.1072998,1.2315,1,3,3.9514999,3,2,48.201733,5.3264241,48.857681
2,29,27.018002,20.241001,1,3,3.9514999,3,1,48.201733,5.3264241,58.982948
2,30,17.348999,19.414999,1,3,3.9514999,3,1,48.201733,5.3264241,58.542984
2,31,4.0267,16.935001,1,3,3.9514999,3,1,48.201733,5.3264241,57.222034
2,32,-19.621,-4.5541,1,3,3.9514999,3,2,48.201733,5.3264241,45.776028
2,33,3.2807002,13.629,1,3,3.9514999,3,1,48.201733,5.3264241,55.461117
2,34,-14.386999,-27.697001,1,3,3.9514999,3,3,48.201733,5.3264241,33.449135
2,35,20.396999,2.8845,1,3,3.9514999,3,2,48.201733,5.3264241,49.73814
2,36,6.1072998,-4.5541,1,3,3.9514999,3,2,48.201733,5.3264241,45.776028
2,37,-5.5510998,-1.2479999,1,3,3.9514999,3,2,48.201733,5.3264241,47.536995
2,38,20.396999,3.711,1,3,3.9514999,3,2,48.201733,5.3264241,50.178368
2,39,-6.2304997,-16.952,1,3,3.9514999,3,3,48.201733,5.3264241,39.172379
2,40,-11.186,-6.2070999,1,3,3.9514999,3,2,48.201733,5.3264241,44.895569
2,41,7.4723001,.40499002,1,3,3.9514999,3,2,48.201733,5.3264241,48.417446
2,42,18.138,24.374001,1,3,3.9514999,3,1,48.201733,5.3264241,61.184361
2,43,19.771,20.241001,1,3,3.9514999,3,1,48.201733,5.3264241,58.982948
2,44,-12.195,2.0580001,1,3,3.9514999,3,2,48.201733,5.3264241,49.297913
2,45,4.0267,12.803,1,3,3.9514999,3,1,48.201733,5.3264241,55.021152
2,46,11.094,21.893999,1,3,3.9514999,3,1,48.201733,5.3264241,59.863403
2,47,10.396,16.109001,1,3,3.9514999,3,1,48.201733,5.3264241,56.78207
2,48,-2.6515999,-5.3806,1,3,3.9514999,3,2,48.201733,5.3264241,45.335796
2,49,16.618,7.0170999,1,3,3.9514999,3,1,48.201733,5.3264241,51.939339
2,50,21.029999,21.893999,1,3,3.9514999,3,1,48.201733,5.3264241,59.863403
2,51,31.34,12.803,1,3,3.9514999,3,1,48.201733,5.3264241,55.021152
2,52,6.1072998,-4.5541,1,3,3.9514999,3,2,48.201733,5.3264241,45.776028
2,53,6.1072998,-.42151999,1,3,3.9514999,3,2,48.201733,5.3264241,47.977215
2,54,-13.353,-11.166,1,3,3.9514999,3,3,48.201733,5.3264241,42.254246
2,55,-8.5267,-11.166,1,3,3.9514999,3,3,48.201733,5.3264241,42.254246
3,1,-1.9761001,-.42151999,1,1,5.1415997,3,2,62.948158,4.7683244,62.747166
3,2,29.247,13.629,1,1,5.1415997,3,1,62.948158,4.7683244,69.446907
3,3,-6.9951,13.629,1,1,5.1415997,3,1,62.948158,4.7683244,69.446907
3,4,24.087,14.456,0,1,5.1415997,3,1,62.948158,4.7683244,69.841248
3,5,8.9657001,-1.2479999,0,1,5.1415997,3,2,62.948158,4.7683244,62.353073
3,6,1.3406999,-5.3806,0,1,5.1415997,3,2,62.948158,4.7683244,60.382515
3,7,-6.9951,7.0170999,0,1,5.1415997,3,1,62.948158,4.7683244,66.294136
3,8,.043218002,-.42151999,0,1,5.1415997,3,2,62.948158,4.7683244,62.747166
3,9,-.62088001,-18.605,0,1,5.1415997,3,3,62.948158,4.7683244,54.076691
3,10,11.757999,1.2315,1,1,5.1415997,3,2,62.948158,4.7683244,63.535378
3,11,19.771,24.374001,0,1,5.1415997,3,1,62.948158,4.7683244,74.570473
3,12,-2.6515999,12.803,1,1,5.1415997,3,1,62.948158,4.7683244,69.053047
3,13,6.7876,-6.2070999,1,1,5.1415997,3,2,62.948158,4.7683244,59.988411
3,14,2.6131999,11.976,1,1,5.1415997,3,1,62.948158,4.7683244,68.658707
3,15,9.6758995,2.0580001,1,1,5.1415997,3,2,62.948158,4.7683244,63.929478
3,16,15.061999,-2.0746,1,1,5.1415997,3,2,62.948158,4.7683244,61.958923
3,17,13.747,3.711,0,1,5.1415997,3,1,62.948158,4.7683244,64.717682
3,18,2.6131999,-2.0746,0,1,5.1415997,3,2,62.948158,4.7683244,61.958923
3,19,18.138,11.976,0,1,5.1415997,3,1,62.948158,4.7683244,68.658707
3,20,1.3406999,3.711,1,1,5.1415997,3,2,62.948158,4.7683244,64.717682
3,21,-11.186,-11.166,0,1,5.1415997,3,3,62.948158,4.7683244,57.623848
3,22,4.0267,2.8845,1,1,5.1415997,3,2,62.948158,4.7683244,64.323578
3,23,15.792,7.0170999,1,1,5.1415997,3,1,62.948158,4.7683244,66.294136
3,24,7.4723001,6.1905999,0,1,5.1415997,3,1,62.948158,4.7683244,65.90004
3,25,4.0267,2.8845,1,1,5.1415997,3,2,62.948158,4.7683244,64.323578
3,26,18.138,12.803,1,1,5.1415997,3,1,62.948158,4.7683244,69.053047
3,27,20.396999,24.374001,0,1,5.1415997,3,1,62.948158,4.7683244,74.570473
3,28,22.031,18.588001,0,1,5.1415997,3,1,62.948158,4.7683244,71.811523
3,29,8.2199001,10.323,1,1,5.1415997,3,1,62.948158,4.7683244,67.870499
3,30,20.396999,9.4967003,1,1,5.1415997,3,1,62.948158,4.7683244,67.476494
3,31,19.771,24.374001,0,1,5.1415997,3,1,62.948158,4.7683244,74.570473
3,32,14.395,7.0170999,0,1,5.1415997,3,1,62.948158,4.7683244,66.294136
3,33,15.792,9.4967003,1,1,5.1415997,3,1,62.948158,4.7683244,67.476494
3,34,12.405,10.323,0,1,5.1415997,3,1,62.948158,4.7683244,67.870499
3,35,13.747,3.711,1,1,5.1415997,3,2,62.948158,4.7683244,64.717682
3,36,8.9657001,11.976,1,1,5.1415997,3,1,62.948158,4.7683244,68.658707
3,37,8.2199001,-6.2070999,0,1,5.1415997,3,2,62.948158,4.7683244,59.988411
3,38,21.029999,9.4967003,1,1,5.1415997,3,1,62.948158,4.7683244,67.476494
3,39,-3.3884001,-9.5131998,0,1,5.1415997,3,2,62.948158,4.7683244,58.411957
3,40,10.396,.40499002,0,1,5.1415997,3,2,62.948158,4.7683244,63.14127
3,41,14.395,.40499002,0,1,5.1415997,3,2,62.948158,4.7683244,63.14127
3,42,1.3406999,6.1905999,0,1,5.1415997,3,1,62.948158,4.7683244,65.90004
3,43,11.094,2.0580001,0,1,5.1415997,3,2,62.948158,4.7683244,63.929478
3,44,15.061999,9.4967003,1,1,5.1415997,3,1,62.948158,4.7683244,67.476494
3,45,-9.3937998,-2.9010999,0,1,5.1415997,3,2,62.948158,4.7683244,61.564819
3,46,-2.6515999,-8.6866999,0,1,5.1415997,3,2,62.948158,4.7683244,58.806057
3,47,6.1072998,12.803,1,1,5.1415997,3,1,62.948158,4.7683244,69.053047
3,48,7.4723001,5.3640995,0,1,5.1415997,3,1,62.948158,4.7683244,65.505936
3,49,-4.9278002,2.8845,1,1,5.1415997,3,2,62.948158,4.7683244,64.323578
3,50,-1.9761001,6.1905999,0,1,5.1415997,3,1,62.948158,4.7683244,65.90004
3,51,9.6758995,5.3640995,0,1,5.1415997,3,2,62.948158,4.7683244,65.505936
3,52,22.031,-.42151999,0,1,5.1415997,3,2,62.948158,4.7683244,62.747166
4,1,6.7876,3.711,1,1,.91764003,2,2,71.021469,5.2519932,72.970482
4,2,4.7818999,-2.0746,0,1,.91764003,2,2,71.021469,5.2519932,69.931892
4,3,2.6131999,18.588001,0,1,.91764003,2,1,71.021469,5.2519932,80.783875
4,4,1.9414999,1.2315,1,1,.91764003,2,2,71.021469,5.2519932,71.668251
4,5,-17.239,-12.819,0,1,.91764003,2,3,71.021469,5.2519932,64.28894
4,6,-4.198,-5.3806,0,1,.91764003,2,2,71.021469,5.2519932,68.19558
4,7,4.0267,-3.7276001,1,1,.91764003,2,2,71.021469,5.2519932,69.063736
4,8,-1.9761001,-4.5541,0,1,.91764003,2,2,71.021469,5.2519932,68.629662
4,9,.73536003,8.6701002,1,1,.91764003,2,1,71.021469,5.2519932,75.574997
4,10,-15.267,-8.6866999,0,1,.91764003,2,2,71.021469,5.2519932,66.459221
4,11,-2.6515999,-2.9010999,1,1,.91764003,2,2,71.021469,5.2519932,69.49781
4,12,-8.5267,-10.34,0,1,.91764003,2,2,71.021469,5.2519932,65.590912
4,13,3.2807002,19.414999,0,1,.91764003,2,1,71.021469,5.2519932,81.218216
4,14,-8.5267,-7.0336003,0,1,.91764003,2,2,71.021469,5.2519932,67.327431
4,15,4.0267,-.42151999,0,1,.91764003,2,2,71.021469,5.2519932,70.800087
4,16,-6.9951,-2.0746,0,1,.91764003,2,2,71.021469,5.2519932,69.931892
4,17,6.7876,-4.5541,1,1,.91764003,2,2,71.021469,5.2519932,68.629662
4,18,25.323999,8.6701002,1,1,.91764003,2,1,71.021469,5.2519932,75.574997
4,19,15.792,3.711,0,1,.91764003,2,2,71.021469,5.2519932,72.970482
4,20,-16.237,-23.563999,0,1,.91764003,2,3,71.021469,5.2519932,58.645672
4,21,-3.3884001,2.8845,0,1,.91764003,2,2,71.021469,5.2519932,72.536407
4,22,-4.198,-1.2479999,1,1,.91764003,2,2,71.021469,5.2519932,70.36602
4,23,-6.2304997,2.0580001,0,1,.91764003,2,2,71.021469,5.2519932,72.102333
4,24,13.101,6.1905999,1,1,.91764003,2,1,71.021469,5.2519932,74.272766
4,25,6.7876,9.4967003,1,1,.91764003,2,1,71.021469,5.2519932,76.009132
4,26,-2.6515999,-8.6866999,0,1,.91764003,2,2,71.021469,5.2519932,66.459221
4,27,-22.917,-8.6866999,1,1,.91764003,2,2,71.021469,5.2519932,66.459221
4,28,-6.9951,-11.993,0,1,.91764003,2,3,71.021469,5.2519932,64.722755
4,29,-14.386999,-17.778,1,1,.91764003,2,3,71.021469,5.2519932,61.684475
4,30,-1.2908,6.1905999,0,1,.91764003,2,1,71.021469,5.2519932,74.272766
4,31,1.9414999,-.42151999,0,1,.91764003,2,2,71.021469,5.2519932,70.800087
4,32,5.4434004,5.3640995,0,1,.91764003,2,1,71.021469,5.2519932,73.838692
4,33,6.7876,-7.0336003,0,1,.91764003,2,2,71.021469,5.2519932,67.327431
4,34,-.62088001,9.4967003,0,1,.91764003,2,1,71.021469,5.2519932,76.009132
4,35,11.094,3.711,0,1,.91764003,2,1,71.021469,5.2519932,72.970482
4,36,-6.9951,7.8435998,0,1,.91764003,2,1,71.021469,5.2519932,75.140923
4,37,-8.5267,3.711,1,1,.91764003,2,2,71.021469,5.2519932,72.970482
4,38,-13.353,-18.605,0,1,.91764003,2,3,71.021469,5.2519932,61.250137
4,39,-22.917,-18.605,0,1,.91764003,2,3,71.021469,5.2519932,61.250137
4,40,1.9414999,-5.3806,1,1,.91764003,2,2,71.021469,5.2519932,68.19558
4,41,14.395,6.1905999,1,1,.91764003,2,1,71.021469,5.2519932,74.272766
4,42,1.3406999,.40499002,1,1,.91764003,2,2,71.021469,5.2519932,71.234169
4,43,-5.5510998,.40499002,1,1,.91764003,2,2,71.021469,5.2519932,71.234169
4,44,-5.5510998,-9.5131998,0,1,.91764003,2,2,71.021469,5.2519932,66.025146
4,45,8.9657001,1.2315,1,1,.91764003,2,2,71.021469,5.2519932,71.668251
4,46,-5.5510998,-2.0746,0,1,.91764003,2,2,71.021469,5.2519932,69.931892
4,47,20.396999,17.762001,1,1,.91764003,2,1,71.021469,5.2519932,80.35006
4,48,8.2199001,.40499002,0,1,.91764003,2,2,71.021469,5.2519932,71.234169
4,49,15.792,-5.3806,1,1,.91764003,2,2,71.021469,5.2519932,68.19558
4,50,10.396,.40499002,1,1,.91764003,2,2,71.021469,5.2519932,71.234169
4,51,21.029999,22.721001,1,1,.91764003,2,1,71.021469,5.2519932,82.954521
4,52,5.4434004,11.976,0,1,.91764003,2,1,71.021469,5.2519932,77.311256
4,53,19.771,23.547001,0,1,.91764003,2,1,71.021469,5.2519932,83.388336
4,54,6.7876,15.282001,1,1,.91764003,2,1,71.021469,5.2519932,79.047562
4,55,7.4723001,7.0170999,0,1,.91764003,2,1,71.021469,5.2519932,74.706848
4,56,15.061999,21.068001,0,1,.91764003,2,1,71.021469,5.2519932,82.086372
4,57,21.029999,8.6701002,1,1,.91764003,2,1,71.021469,5.2519932,75.574997
4,58,-5.5510998,-7.0336003,0,1,.91764003,2,2,71.021469,5.2519932,67.327431
4,59,-5.5510998,-6.2070999,1,1,.91764003,2,2,71.021469,5.2519932,67.761505
4,60,-.62088001,8.6701002,1,1,.91764003,2,1,71.021469,5.2519932,75.574997
4,61,-10.290999,2.0580001,0,1,.91764003,2,2,71.021469,5.2519932,72.102333
4,62,-6.2304997,1.2315,0,1,.91764003,2,2,71.021469,5.2519932,71.668251
4,63,-4.9278002,-7.8601999,1,1,.91764003,2,2,71.021469,5.2519932,66.893295
4,64,-9.3937998,-17.778,1,1,.91764003,2,3,71.021469,5.2519932,61.684475
4,65,-10.290999,-7.8601999,1,1,.91764003,2,2,71.021469,5.2519932,66.893295
4,66,.73536003,6.1905999,1,1,.91764003,2,1,71.021469,5.2519932,74.272766
4,67,11.757999,16.935001,0,1,.91764003,2,1,71.021469,5.2519932,79.915718
4,68,-12.195,-7.0336003,0,1,.91764003,2,2,71.021469,5.2519932,67.327431
4,69,-6.2304997,-.42151999,0,1,.91764003,2,2,71.021469,5.2519932,70.800087
4,70,23.136002,4.5376,1,1,.91764003,2,2,71.021469,5.2519932,73.404617
4,71,-16.237,-9.5131998,0,1,.91764003,2,2,71.021469,5.2519932,66.025146
4,72,-5.5510998,.40499002,0,1,.91764003,2,2,71.021469,5.2519932,71.234169
4,73,-2.6515999,7.8435998,1,1,.91764003,2,1,71.021469,5.2519932,75.140923
4,74,-8.5267,-2.9010999,0,1,.91764003,2,2,71.021469,5.2519932,69.49781
4,75,7.4723001,7.8435998,1,1,.91764003,2,1,71.021469,5.2519932,75.140923
4,76,11.094,18.588001,1,1,.91764003,2,1,71.021469,5.2519932,80.783875
4,77,19.003,14.456,0,1,.91764003,2,1,71.021469,5.2519932,78.613754
4,78,-.62088001,-5.3806,0,1,.91764003,2,2,71.021469,5.2519932,68.19558
4,79,3.2807002,1.2315,0,1,.91764003,2,2,71.021469,5.2519932,71.668251
5,1,10.396,-3.7276001,1,1,2.1052001,3,2,54.464329,5.0250688,52.591183
5,2,10.396,2.0580001,0,1,2.1052001,3,2,54.464329,5.0250688,55.498489
5,3,1.9414999,2.8845,1,1,2.1052001,3,2,54.464329,5.0250688,55.913811
5,4,1.9414999,.40499002,0,1,2.1052001,3,2,54.464329,5.0250688,54.667839
5,5,2.6131999,9.4967003,0,1,2.1052001,3,1,54.464329,5.0250688,59.236485
5,6,15.061999,7.0170999,1,1,2.1052001,3,1,54.464329,5.0250688,57.990471
5,7,3.2807002,11.976,1,1,2.1052001,3,1,54.464329,5.0250688,60.482349
5,8,-1.2908,-3.7276001,1,1,2.1052001,3,2,54.464329,5.0250688,52.591183
5,9,-11.186,-3.7276001,1,1,2.1052001,3,2,54.464329,5.0250688,52.591183
5,10,1.9414999,5.3640995,1,1,2.1052001,3,2,54.464329,5.0250688,57.159824
5,11,3.2807002,-1.2479999,0,1,2.1052001,3,2,54.464329,5.0250688,53.8372
5,12,11.094,17.762001,0,1,2.1052001,3,1,54.464329,5.0250688,63.389858
5,13,7.4723001,4.5376,1,1,2.1052001,3,2,54.464329,5.0250688,56.744503
5,14,-.62088001,-3.7276001,0,1,2.1052001,3,2,54.464329,5.0250688,52.591183
5,15,4.0267,-2.0746,0,1,2.1052001,3,2,54.464329,5.0250688,53.421829
5,16,21.029999,20.241001,1,1,2.1052001,3,1,54.464329,5.0250688,64.635574
5,17,3.2807002,-6.2070999,0,1,2.1052001,3,2,54.464329,5.0250688,51.345219
5,18,15.792,-2.0746,0,1,2.1052001,3,2,54.464329,5.0250688,53.421829
5,19,6.1072998,2.8845,1,1,2.1052001,3,2,54.464329,5.0250688,55.913811
5,20,6.7876,6.1905999,1,1,2.1052001,3,1,54.464329,5.0250688,57.57515
5,21,1.9414999,5.3640995,0,1,2.1052001,3,1,54.464329,5.0250688,57.159824
5,22,-1.2908,-11.993,1,1,2.1052001,3,2,54.464329,5.0250688,48.437763
5,23,11.757999,-3.7276001,1,1,2.1052001,3,2,54.464329,5.0250688,52.591183
5,24,2.6131999,7.0170999,0,1,2.1052001,3,1,54.464329,5.0250688,57.990471
5,25,14.395,11.976,1,1,2.1052001,3,1,54.464329,5.0250688,60.482349
5,26,4.7818999,1.2315,0,1,2.1052001,3,2,54.464329,5.0250688,55.083164
5,27,-12.195,-7.0336003,1,1,2.1052001,3,2,54.464329,5.0250688,50.929897
5,28,-4.9278002,-2.9010999,0,1,2.1052001,3,2,54.464329,5.0250688,53.006508
5,29,13.101,4.5376,0,1,2.1052001,3,2,54.464329,5.0250688,56.744503
5,30,6.1072998,5.3640995,0,1,2.1052001,3,1,54.464329,5.0250688,57.159824
5,31,-7.7610998,-7.8601999,1,1,2.1052001,3,2,54.464329,5.0250688,50.514523
5,32,-12.195,-3.7276001,1,1,2.1052001,3,2,54.464329,5.0250688,52.591183
5,33,11.757999,8.6701002,0,1,2.1052001,3,1,54.464329,5.0250688,58.821114
5,34,4.0267,5.3640995,1,1,2.1052001,3,1,54.464329,5.0250688,57.159824
5,35,-4.198,-2.9010999,1,1,2.1052001,3,2,54.464329,5.0250688,53.006508
6,1,6.1072998,-4.5541,1,3,6.3766003,3,2,72.031776,4.8870707,69.806152
6,2,10.396,4.5376,1,3,6.3766003,3,1,72.031776,4.8870707,74.249336
6,3,8.9657001,5.3640995,1,3,6.3766003,3,1,72.031776,4.8870707,74.653252
6,4,4.0267,8.6701002,1,3,6.3766003,3,1,72.031776,4.8870707,76.268913
6,5,1.9414999,15.282001,1,3,6.3766003,3,1,72.031776,4.8870707,79.500198
6,6,19.003,8.6701002,1,3,6.3766003,3,1,72.031776,4.8870707,76.268913
6,7,.73536003,19.414999,1,3,6.3766003,3,1,72.031776,4.8870707,81.520027
6,8,13.101,16.109001,1,3,6.3766003,3,1,72.031776,4.8870707,79.904358
6,9,20.396999,8.6701002,1,3,6.3766003,3,1,72.031776,4.8870707,76.268913
6,10,15.792,6.1905999,1,3,6.3766003,3,1,72.031776,4.8870707,75.057167
6,11,19.003,2.0580001,1,3,6.3766003,3,2,72.031776,4.8870707,73.037537
6,12,-2.6515999,2.0580001,1,3,6.3766003,3,2,72.031776,4.8870707,73.037537
6,13,19.771,21.893999,1,3,6.3766003,3,1,72.031776,4.8870707,82.731529
6,14,8.2199001,6.1905999,1,3,6.3766003,3,1,72.031776,4.8870707,75.057167
6,15,7.4723001,-10.34,1,3,6.3766003,3,3,72.031776,4.8870707,66.978546
6,16,16.618,22.721001,1,3,6.3766003,3,1,72.031776,4.8870707,83.135689
6,17,23.136002,5.3640995,1,3,6.3766003,3,1,72.031776,4.8870707,74.653252
6,18,13.747,5.3640995,1,3,6.3766003,3,1,72.031776,4.8870707,74.653252
